"age","gender","college.degree","degree.level","non.sandler.trained","sandler.trained","prior.Industry","current.job.sales.years","avg.percent.of.revenue.goal","AS1","AS2","AS3","AS4","AS5","AS6","AS7","AS8","AS9","AS10","SC1","SC2","SC3","SC4","SC5","SC6","SC7","SC8","SC9","SC10","AD1","AD2","AD3","AD4","AD5","AD6","AD7","AD8","AD9","AD10","DO1","DO2","DO3","DO4","DO5","DO6","DO7","DO8","DO9","DO10"
25,1,"y","Associates","no","yes","Consulting",4,"20%",5,4,3,4,2,4,2,3,1,2,4,4,3,5,4,2,2,2,2,1,5,3,5,5,1,2,2,2,1,3,2,2,5,3,5,4,2,5,2,2
25,1,"y","Bachelors","no","yes","Non-Profit",4,"20%",4,4,4,4,3,5,2,1,1,1,1,3,3,4,3,2,2,1,2,2,4,4,5,5,1,1,1,1,1,2,5,5,3,3,5,3,3,5,2,2
26,1,"n","none","no","no","Banking",4,"20%",4,2,2,3,2,3,4,4,4,2,4,3,2,4,3,4,2,3,4,3,4,4,4,4,4,2,1,4,1,2,2,2,3,2,3,3,4,3,2,2
26,1,"n","none","no","no","Web Tech",4,"30%",4,5,5,5,5,5,1,2,1,1,5,4,5,4,4,4,1,4,4,3,5,5,5,5,1,1,1,4,1,1,5,5,4,3,3,5,4,5,4,4
26,1,"n","none","no","yes","Banking",4,"30%",2,3,3,2,2,2,4,3,3,2,3,2,2,2,3,3,5,5,5,5,2,1,5,5,5,5,5,3,2,5,5,5,5,2,3,2,4,4,2,4
26,1,"y","Bachelors","no","yes","Banking",4,"50%",4,3,2,5,2,3,4,3,2,1,3,2,1,4,4,4,2,4,4,4,2,2,5,4,4,3,3,2,1,2,2,2,4,2,1,1,4,4,2,1
26,1,"y","Bachelors","no","yes","Technology",4,"20%",3,3,3,3,3,3,3,3,3,3,4,4,2,3,2,3,3,3,4,3,5,5,4,4,1,1,1,2,1,3,3,3,3,2,3,3,3,3,3,3
27,1,"n","Bachelors","no","yes","Technology",4,"50%",4,5,4,4,4,5,1,2,1,2,4,4,4,4,4,2,2,2,2,2,5,5,5,4,2,2,2,4,2,2,5,5,2,3,4,4,4,4,4,2
27,1,"n","none","no","no","Operations",4,"30%",5,5,4,5,4,5,2,1,1,2,4,4,4,5,3,1,2,1,2,1,2,5,5,5,4,2,2,4,1,4,4,5,3,4,5,5,5,4,4,2
27,1,"y","Associates","no","yes","Manufacturing",4,"70%",5,3,4,4,5,5,4,3,1,1,4,3,3,5,3,3,4,3,4,1,4,4,4,4,1,1,1,1,1,1,2,2,4,3,5,3,5,3,3,3
28,1,"n","none","no","yes","Operations",4,"70%",2,3,3,2,3,3,2,3,2,2,2,2,2,2,2,3,3,4,3,4,3,4,4,5,3,3,2,3,2,4,4,4,4,2,2,2,3,3,2,2
28,1,"n","none","no","yes","Operations",4,"10%",2,3,4,3,5,4,2,3,1,1,4,4,3,3,3,2,2,2,3,1,5,5,5,5,1,2,2,2,1,1,5,5,5,3,4,2,2,4,3,4
29,1,"n","none","no","yes","Manufacturing",4,"10%",3,4,4,4,3,4,2,3,3,2,2,2,2,2,2,4,4,4,4,1,2,2,5,4,2,4,3,3,1,2,3,3,4,2,4,2,3,5,2,2
29,1,"n","none","yes","yes","Insurance",4,"50%",5,5,5,5,4,4,2,2,2,1,5,5,5,5,5,1,2,1,1,1,5,5,4,5,2,1,1,4,1,1,2,4,5,4,5,4,5,4,4,4
24,1,"y","Bachelors","yes","no","Technology",4,"10%",5,4,2,5,2,4,4,4,1,2,4,4,1,5,4,2,2,2,2,2,4,5,5,4,2,2,2,2,2,1,4,2,2,4,4,4,4,4,4,1
24,1,"y","Associates","yes","no","Technology",4,"50%",5,5,1,5,5,5,1,1,1,1,5,5,5,5,5,1,1,1,1,1,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,5,5,5,1
27,1,"y","Bachelors","yes","no","Operations",4,"20%",2,4,2,5,3,4,3,3,1,1,2,2,4,2,2,2,2,5,3,2,1,4,5,2,4,4,2,5,2,4,5,5,4,4,4,4,3,5,3,4
29,1,"y","Associates","yes","no","Operations",4,"70%",2,4,4,4,4,4,2,2,2,1,3,4,4,2,3,3,3,3,2,3,4,3,4,4,3,1,1,1,1,1,3,3,3,3,3,3,4,4,3,3
30,1,"n","none","yes","yes","Programmer",4,"30%",5,4,4,5,3,3,2,2,1,1,4,4,4,5,5,2,1,1,2,1,4,5,5,5,2,2,1,2,1,2,5,5,4,4,3,3,5,4,3,2
25,1,"n","none","no","yes","Manufacturing",5,"50%",5,5,4,4,5,3,1,3,1,1,4,2,5,4,4,4,4,3,3,2,2,4,4,4,4,4,3,5,5,4,5,4,3,3,3,3,4,4,4,4
27,1,"y","Associates","no","yes","Operations",5,"30%",4,4,4,4,3,4,3,2,2,2,4,4,4,3,3,3,3,2,4,2,3,4,4,4,3,3,2,3,2,2,4,4,2,2,4,4,3,4,3,2
27,1,"y","Bachelors","yes","yes","Insurance",5,"10%",5,4,3,5,3,4,2,2,1,1,3,2,2,5,4,5,2,4,4,1,2,4,5,3,4,4,3,5,1,3,4,2,4,3,5,3,5,5,1,3
27,1,"y","Bachelors","no","yes","Manufacturing",5,"50%",4,4,2,3,4,5,2,3,5,1,5,4,4,4,4,2,2,2,2,2,4,5,5,4,3,2,2,4,1,2,4,4,4,3,3,3,4,4,4,3
28,1,"y","Bachelors","no","yes","Operations",5,"10%",5,3,3,4,4,3,2,4,2,1,4,5,5,5,4,1,2,3,2,1,3,3,4,4,4,2,1,4,2,1,2,2,2,2,2,5,4,4,2,2
29,1,"n","none","no","yes","Operations",5,"70%",5,4,4,4,4,4,3,2,2,1,2,4,4,4,4,4,2,4,2,1,5,3,5,5,1,1,1,1,1,1,4,4,4,4,3,3,4,4,1,2
29,1,"y","Bachelors","no","yes","Construction",5,"70%",3,3,4,3,2,1,3,2,1,1,2,1,1,3,3,4,3,4,4,1,5,5,5,5,3,2,2,3,2,3,4,4,1,2,4,3,2,3,1,1
29,1,"y","Masters","no","yes","Pilot",5,"70%",4,3,2,2,1,5,3,4,4,5,5,3,1,4,4,4,2,1,4,1,4,5,5,5,2,1,1,3,1,2,3,3,5,3,5,4,4,4,3,3
30,1,"n","none","no","yes","Non-Profit",5,"30%",5,4,4,5,3,4,2,3,1,1,5,4,5,4,5,2,1,1,3,1,2,5,5,5,2,2,2,3,1,1,5,3,4,2,2,3,4,4,4,2
25,1,"n","none","yes","no","Web Tech ",5,"50%",4,4,4,4,4,4,3,2,2,1,4,4,4,4,5,2,2,2,4,4,4,2,5,4,2,2,1,3,3,3,4,4,2,3,3,4,3,3,3,4
26,1,"n","Associates","yes","no","Technology",5,"60%",5,4,3,3,2,2,2,2,1,1,5,5,5,5,3,1,3,2,2,1,4,4,5,3,4,3,1,2,1,2,3,3,4,3,5,3,5,5,2,2
27,1,"y","Bachelors","yes","no","Manufacturing",5,"70%",2,3,2,2,4,2,4,4,1,4,2,1,2,2,2,4,4,4,4,4,4,5,4,3,3,2,1,4,2,4,4,4,4,2,4,2,4,2,3,3
28,1,"y","Bachelors","yes","no","Technology",5,"20%",3,4,3,4,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,3,3,4,4,3,4
29,1,"y","Masters","yes","no","Health Care",5,"10%",2,3,3,4,2,2,4,4,5,1,3,4,4,2,4,2,2,4,2,1,4,4,4,4,4,5,5,4,2,4,4,4,4,2,3,3,4,4,2,2
30,1,"n","none","yes","no","Health Care",5,"70%",3,2,3,3,3,3,2,2,2,2,2,3,3,3,3,4,3,2,4,2,4,4,4,3,3,2,2,3,2,2,3,3,2,2,3,2,3,3,2,2
30,1,"y","Bachelors","yes","no","Operations",5,"70%",2,2,2,3,3,4,4,3,3,3,3,1,1,2,2,2,4,4,4,4,2,5,3,3,4,4,2,3,3,3,3,3,4,2,2,2,2,2,3,2
25,1,"y","Bachelors","no","yes","Retail",6,"70%",4,4,3,4,3,4,3,3,2,4,4,4,1,4,2,2,4,2,4,4,5,4,5,5,3,2,2,4,1,2,5,5,5,4,4,4,5,5,4,3
27,1,"n","Bachelors","no","yes","Technology",6,"70%",2,2,1,2,2,2,4,4,3,4,2,5,1,2,2,4,3,4,4,4,3,4,2,3,4,2,2,3,2,4,3,3,3,2,3,1,3,3,2,1
27,1,"y","Bachelors","no","yes","Technology",6,"50%",5,4,4,3,4,4,4,2,1,1,4,3,3,5,3,2,3,4,3,2,4,4,5,5,1,1,1,1,1,1,2,2,4,5,5,3,5,4,5,3
28,1,"y","Masters","no","yes","Non-Profit",6,"20%",3,4,2,3,3,4,4,3,1,1,4,2,4,3,2,4,3,1,2,1,4,4,4,5,1,1,1,4,1,2,4,4,4,2,5,2,5,5,4,4
29,1,"n","none","yes","yes","Financial",6,"30%",4,5,5,4,4,4,3,4,1,4,4,4,4,4,4,3,2,2,3,3,3,4,5,5,3,3,3,3,3,3,5,3,2,2,2,2,4,3,3,1
29,1,"y","Bachelors","no","no","Construction",6,"20%",4,5,5,4,4,4,3,2,2,5,5,4,3,4,3,2,2,1,2,2,5,5,5,5,1,1,1,1,1,1,2,3,2,2,4,4,5,4,3,2
29,1,"y","Bachelors","no","yes","Restaurant",6,"20%",4,4,2,4,4,4,4,4,1,2,2,2,1,4,3,4,2,4,4,4,2,5,4,4,4,2,2,2,2,1,1,1,4,1,4,2,3,4,1,1
25,1,"n","none","yes","no","Construction",6,"50%",1,2,2,3,2,2,5,4,4,3,2,1,3,2,4,5,2,5,4,3,2,5,5,4,3,2,2,5,1,4,4,4,4,1,4,1,4,4,3,3
28,1,"n","Bachelors","yes","no","Technology",6,"30%",1,1,4,1,4,4,4,2,2,4,1,1,1,1,1,5,5,5,5,5,3,2,4,2,5,4,3,3,2,5,4,3,2,2,4,3,2,4,3,3
29,1,"y","Bachelors","yes","no","Technology",6,"70%",3,5,5,3,4,4,3,2,2,2,3,5,4,3,3,1,1,2,2,2,4,1,4,4,2,2,1,3,2,2,4,4,4,4,4,3,4,5,3,3
30,1,"n","none","yes","no","Construction",6,"70%",4,5,5,5,4,4,2,3,1,1,5,5,4,4,5,1,1,1,1,1,3,5,5,5,3,2,2,4,3,2,5,5,4,3,2,4,4,4,3,3
30,1,"n","none","yes","no","Restaurant",6,"20%",3,4,3,4,3,3,2,3,4,1,3,3,2,4,4,4,3,2,3,2,3,5,4,3,3,2,3,3,1,3,4,4,3,2,4,3,4,3,2,3
30,1,"n","none","yes","yes","Manufacturing",6,"30%",4,4,4,3,4,4,2,3,2,1,2,2,2,4,3,4,2,4,4,2,4,4,5,4,3,2,2,3,2,2,3,3,4,1,4,3,4,4,2,2
25,1,"n","none","no","yes","Programmer",7,"30%",4,5,5,4,5,5,1,2,2,2,5,5,4,4,2,2,2,4,4,2,4,5,5,4,2,4,1,4,1,4,4,4,2,2,2,2,4,4,1,2
27,1,"n","Bachelors","no","no","Consulting",7,"70%",2,2,1,3,2,2,4,4,4,2,1,1,1,2,4,5,2,5,5,4,1,3,4,3,3,4,2,5,3,4,3,2,4,1,3,2,2,3,1,1
27,1,"y","Masters","no","yes","Government",7,"20%",4,4,4,4,2,4,3,3,5,3,5,5,4,4,4,2,2,2,2,3,4,4,4,4,4,3,3,2,3,3,5,4,2,2,2,3,4,3,3,2
29,1,"n","none","no","yes","Government",7,"30%",4,4,3,4,3,4,2,2,1,1,5,4,4,4,3,2,2,1,3,2,4,5,4,4,3,2,2,3,2,2,4,4,3,2,4,2,4,4,2,2
29,1,"y","Masters","no","yes","Financial Analyst",7,"60%",5,4,4,5,4,4,2,3,2,3,5,5,5,5,5,1,1,1,1,1,5,5,5,4,2,5,5,3,1,2,4,4,4,4,5,5,2,3,4,2
29,1,"y","Bachelors","no","yes","Web Tech ",7,"30%",5,4,4,4,3,4,2,2,1,1,5,3,3,4,4,2,2,1,3,1,5,5,5,5,1,2,1,1,2,1,5,4,4,4,4,4,4,5,2,2
30,1,"n","none","no","yes","Banking",7,"20%",4,1,3,3,3,4,4,3,2,1,3,2,3,4,3,4,3,3,4,4,2,4,5,4,3,5,3,4,2,1,1,4,3,2,5,4,3,5,3,2
18,2,"n","none","no","yes","Restaurant",2,"20%",4,1,1,1,1,3,5,3,3,3,4,1,1,4,1,3,3,3,3,3,3,5,5,3,3,3,3,3,3,3,4,1,1,1,1,1,1,1,1,1
18,2,"n","none","no","yes","Sales",2,"20%",4,4,3,4,3,2,2,3,1,2,2,1,1,3,3,5,3,4,3,3,4,4,5,3,3,3,3,3,4,3,4,4,4,2,3,2,2,4,3,2
18,2,"y","none","no","no","Sales",2,"20%",5,4,4,5,3,2,2,5,2,1,5,5,5,5,4,1,1,1,1,1,5,5,5,5,3,1,1,5,1,2,5,4,3,5,4,4,4,4,4,2
18,2,"n","Bachelors","no","no","Programmer",2,"20%",2,4,3,5,4,5,3,3,1,1,2,2,2,2,3,4,3,4,3,4,4,4,3,4,2,2,2,2,1,2,1,5,4,3,5,3,4,4,3,4
18,2,"n","Bachelors","no","no","Sales",2,"30%",2,3,4,4,4,4,2,3,2,1,2,2,2,2,3,4,3,4,4,4,3,4,3,3,2,2,2,2,2,2,2,3,4,3,5,4,4,4,3,3
18,2,"n","Associates","no","yes","Programmer",2,"40%",4,2,2,2,4,2,4,4,4,4,4,3,4,4,2,3,4,3,3,4,4,4,4,4,3,2,2,2,2,2,2,2,3,2,1,1,2,3,2,2
18,2,"n","Bachelors","no","yes","Programmer",2,"30%",5,4,4,4,5,4,4,3,2,2,2,4,3,4,3,2,2,3,4,2,5,5,5,4,2,4,2,1,1,3,5,5,5,4,2,4,5,4,4,2
18,2,"n","Associates","no","no","Programmer",2,"30%",3,3,2,2,4,3,3,3,1,2,3,3,2,3,2,3,4,3,3,3,3,5,5,4,3,3,3,3,3,3,5,4,4,3,4,3,4,3,2,1
18,2,"n","Bachelors","no","yes","Relail ",2,"20%",3,4,4,4,4,3,5,5,3,4,4,4,2,3,3,4,2,3,4,3,5,5,5,3,4,2,3,3,3,3,5,5,4,4,3,3,4,4,3,2
18,3,"n","Bachelors","no","yes","Relail ",2,"20%",5,5,3,4,5,4,1,1,1,1,5,5,4,5,5,3,1,1,3,1,5,5,5,5,1,1,1,3,1,1,5,5,1,5,5,4,5,5,5,5
19,2,"n","none","no","no","Sales",4,"30%",4,2,2,2,2,2,4,4,3,2,2,2,3,4,2,4,3,4,4,2,4,5,4,5,4,3,2,3,2,1,3,4,4,2,2,2,3,3,1,1
19,2,"n","none","yes","no","Restaurant",4,"30%",2,2,1,4,2,2,4,4,4,2,1,2,2,3,4,3,2,4,3,2,3,2,5,2,2,3,2,3,4,2,4,4,4,2,3,4,2,4,2,2
19,2,"n","none","yes","yes","Restaurant",4,"30%",1,2,2,2,2,4,5,4,4,1,4,1,2,2,3,4,2,1,3,2,5,5,5,5,5,2,2,4,1,1,1,1,1,1,1,1,1,5,1,1
19,2,"n","none","yes","no","Sales",4,"30%",3,2,2,3,3,3,4,4,2,2,5,4,2,3,2,1,4,1,2,3,4,5,4,3,2,2,2,1,1,2,2,2,3,2,1,1,3,3,1,1
19,2,"y","none","yes","yes","Sales",4,"30%",5,4,3,2,2,3,4,4,2,1,4,1,1,5,3,5,4,3,5,2,2,5,4,4,2,2,2,3,2,1,4,4,4,2,2,1,4,5,2,1
20,2,"n","Associates","yes","yes","Office Manager",2,"30%",2,4,3,3,4,3,3,2,1,2,2,1,4,3,3,5,2,4,4,2,3,4,4,4,2,2,2,2,1,1,3,3,3,2,2,1,3,4,1,1
20,2,"n","Associates","yes","no","Insurance",2,"30%",5,4,4,5,4,4,2,1,2,3,2,3,3,5,5,1,1,5,1,2,5,4,5,4,3,3,2,3,2,2,5,5,4,4,5,5,2,4,4,3
20,2,"n","none","no","no","Sales",2,"30%",5,2,4,4,4,3,2,3,1,1,5,5,4,5,4,1,1,1,1,1,4,4,4,4,1,1,1,1,1,2,1,1,3,3,4,3,5,4,1,1
20,2,"y","Associates","no","yes","Sales",2,"30%",4,3,2,3,4,4,3,2,1,1,3,2,2,4,3,3,3,2,4,2,3,4,5,5,3,3,5,4,1,1,4,2,3,4,4,2,4,5,3,3
21,2,"n","none","no","no","Nurse",2,"30%",2,3,2,3,3,3,1,2,3,1,1,1,3,2,2,5,4,5,5,3,4,3,5,3,3,3,2,3,2,3,3,3,3,2,5,4,5,5,5,4
21,2,"n","Bachelors","no","no","Sales",2,"30%",4,2,4,5,5,5,1,1,2,1,2,1,1,4,5,1,1,5,5,1,2,4,4,4,4,4,4,4,1,4,1,1,5,4,1,1,1,1,1,1
21,2,"n","none","no","no","none",2,"30%",5,5,5,5,5,5,2,2,1,1,5,5,4,5,5,1,1,1,1,1,5,5,5,5,2,2,1,1,1,1,5,5,3,3,4,4,4,5,3,4
21,2,"n","none","no","no","none",2,"30%",4,4,4,4,3,4,2,5,1,1,4,4,4,4,3,3,2,1,3,1,3,5,4,4,4,3,3,3,5,4,5,5,4,4,4,4,3,4,2,2
21,2,"y","Associates","no","no","Non-Profit",2,"30%",3,3,4,5,3,3,3,3,2,1,3,3,5,4,4,2,1,4,3,2,4,5,5,4,2,2,1,2,1,1,3,2,4,2,4,2,4,4,2,2
21,2,"y","Associates","no","no","Consulting",2,"50%",2,1,1,3,2,1,3,4,3,2,4,3,1,2,4,2,2,2,3,3,5,5,4,5,2,1,1,2,1,1,2,2,5,2,3,1,4,2,1,1
22,2,"n","Bachelors","no","no","Technology",2,"50%",3,3,2,3,3,3,4,3,1,2,4,3,2,3,3,3,3,2,3,4,5,4,4,4,4,3,2,4,2,3,3,3,3,2,4,3,3,4,2,2
22,2,"n","none","no","no","Non-Profit",2,"30%",3,3,3,3,3,3,2,3,1,1,1,1,2,2,2,4,4,4,5,3,3,4,5,4,3,2,2,3,2,2,4,4,4,3,5,4,5,3,3,3
22,2,"n","Bachelors","no","yes","Technology",2,"30%",4,4,4,5,2,5,4,1,2,2,4,3,2,4,4,3,2,1,3,1,4,5,5,5,4,5,4,4,2,2,4,5,4,4,4,3,3,5,2,2
22,2,"n","none","no","no","Operations",2,"10%",5,5,5,5,5,5,1,1,1,1,2,4,2,4,1,2,4,3,2,5,4,5,5,5,2,1,1,4,1,1,4,5,5,5,5,3,5,5,5,5
22,2,"y","Associates","no","no","Other",2,"10%",2,5,5,5,5,5,2,2,2,2,2,1,2,2,5,5,2,4,5,2,2,2,3,2,5,5,5,5,4,4,3,3,4,4,5,3,4,4,5,4
22,2,"y","Bachelors","no","no","Other",2,"10%",2,4,2,4,3,4,4,3,2,2,3,2,1,2,3,3,3,2,4,5,4,4,4,3,4,2,2,4,3,2,2,2,2,2,3,2,3,3,3,3
22,2,"y","Bachelors","no","yes","Technology",2,"40%",2,2,2,4,2,3,4,4,2,2,4,2,2,2,2,4,2,3,4,4,4,4,4,3,3,2,2,4,3,2,2,2,2,2,2,2,2,3,3,2
23,2,"n","none","no","yes","Technology",2,"40%",4,4,2,5,4,3,4,4,4,2,3,2,3,5,4,4,2,4,4,3,5,5,5,5,3,2,2,3,1,2,4,3,4,4,4,1,4,4,1,2
23,2,"n","Bachelors","no","yes","Consulting",2,"40%",4,4,4,5,3,3,3,5,5,2,5,5,5,4,5,1,2,3,2,1,5,5,5,5,3,2,3,4,1,2,4,5,3,3,5,3,2,3,3,2
23,2,"n","none","no","yes","Financial",2,"30%",4,2,2,2,3,2,4,2,2,2,5,3,2,4,4,2,3,2,4,2,3,4,4,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2
23,2,"n","none","no","yes","Other",2,"20%",2,4,2,2,3,2,4,3,1,2,2,1,1,2,3,5,4,5,5,4,3,5,4,4,3,2,2,2,2,2,4,4,4,2,1,2,1,3,1,1
23,2,"n","none","no","yes","Relail ",2,"20%",5,4,4,4,4,4,2,2,4,2,4,5,3,4,4,2,2,3,2,2,2,4,4,4,5,3,3,5,3,4,3,5,4,3,4,4,4,4,4,4
23,2,"y","Bachelors","no","yes","Relail ",2,"20%",3,2,4,4,3,5,3,3,2,2,4,3,2,3,5,2,1,2,3,2,4,5,4,3,4,2,3,4,2,3,3,2,4,4,4,4,3,3,3,2
23,2,"y","Bachelors","no","yes","Relail ",2,"20%",3,2,2,3,2,2,4,4,3,3,2,1,2,3,3,4,4,4,4,3,3,3,3,4,4,3,3,4,3,4,3,2,3,2,2,2,3,3,2,2
23,2,"y","Associates","no","yes","Relail ",2,"20%",2,1,2,2,2,2,3,4,4,2,4,3,4,3,2,3,4,3,4,3,4,5,5,4,4,2,2,3,2,3,3,3,3,3,2,3,4,4,2,1
23,2,"y","Bachelors","yes","yes","Insurance",2,"30%",3,2,2,4,2,2,3,3,2,2,5,4,4,4,4,2,2,1,2,2,4,5,5,3,4,2,2,4,2,2,3,2,4,2,2,2,3,4,2,2
23,2,"y","Bachelors","no","yes","Manufacturing",2,"20%",3,2,2,4,3,4,4,4,4,2,4,4,3,3,4,2,2,2,1,1,1,4,3,4,4,4,2,2,2,4,2,2,4,4,4,4,4,4,4,3
24,2,"n","Masters","no","no","Technology",2,"50%",3,4,5,3,4,5,1,2,1,1,3,3,3,3,3,4,3,2,3,1,5,4,4,4,1,1,1,1,2,1,5,5,4,3,3,3,4,4,3,2
24,2,"n","none","no","yes","Restaurant",2,"30%",5,5,5,5,3,4,2,2,2,1,4,5,5,5,4,1,1,4,1,1,3,4,5,5,2,4,4,3,1,1,2,2,4,4,4,4,3,4,4,2
24,2,"n","Masters","no","no","Technology",3,"40%",5,4,5,4,4,5,2,4,1,1,3,5,5,5,4,4,4,4,4,1,5,5,4,4,1,2,2,4,3,4,5,4,5,4,1,4,5,4,2,1
24,2,"n","none","no","yes","Restaurant",3,"30%",1,2,3,1,2,3,4,3,2,4,2,3,1,1,1,3,4,4,4,5,3,4,4,4,4,3,3,4,4,4,3,4,4,2,4,2,4,4,2,3
24,2,"n","none","no","yes","Restaurant",3,"30%",2,2,3,2,2,3,3,3,4,2,4,4,3,2,2,2,3,2,3,2,5,5,5,5,3,3,3,3,3,2,3,4,3,3,3,3,3,4,3,2
24,2,"n","none","no","yes","Restaurant",3,"30%",4,3,3,3,3,3,4,3,2,2,3,3,3,4,3,3,3,2,2,3,4,5,5,5,3,1,1,2,1,3,3,2,3,3,3,2,2,3,2,2
24,2,"y","Associates","no","yes","Relail ",3,"30%",5,4,5,5,4,4,1,1,1,1,5,3,3,5,5,3,1,1,3,1,5,5,5,1,1,1,1,1,1,1,5,5,5,3,4,2,5,5,2,4
24,2,"y","Associates","no","yes","Other",3,"30%",5,1,4,5,5,5,1,2,5,1,2,2,5,5,4,5,2,1,2,1,1,1,5,5,5,5,5,5,1,1,5,5,4,1,1,4,5,5,1,4
24,2,"y","Bachelors","no","yes","Business Manager",3,"40%",4,4,2,4,3,3,3,2,2,2,5,3,4,4,4,3,2,2,3,2,4,5,5,5,3,2,2,3,2,2,4,4,2,2,3,2,4,4,2,3
24,2,"y","Bachelors","no","yes","Other",3,"50%",4,4,3,4,4,2,4,5,1,2,2,4,4,4,2,2,2,4,4,2,2,4,2,4,4,1,2,4,1,2,4,4,2,1,2,1,2,1,2,2
24,2,"y","Masters","no","no","Technology",3,"60%",2,3,2,4,2,2,3,3,1,2,4,3,2,2,4,3,1,4,3,3,2,5,5,3,4,2,2,3,1,2,2,2,4,2,3,2,2,2,1,1
24,2,"y","Associates","yes","no","Insurance",3,"50%",5,5,4,4,4,4,2,2,2,2,4,4,4,4,4,2,2,2,2,2,2,4,4,4,5,4,2,4,1,3,4,4,4,3,4,2,4,4,2,3
24,2,"y","Bachelors","no","no","Other",3,"40%",5,5,4,4,3,4,2,2,1,1,5,4,4,4,3,2,1,1,1,1,3,4,4,4,2,2,2,3,2,3,4,2,3,1,3,2,5,4,1,2
24,2,"y","Masters","no","yes","Technology",3,"40%",5,4,4,5,4,4,4,4,3,3,4,3,2,5,5,3,3,3,4,4,5,5,5,4,4,3,3,3,5,4,4,4,4,4,3,3,5,5,4,4
24,2,"y","Masters","no","yes","Non-Profit",3,"30%",2,5,4,4,3,5,1,3,2,3,3,3,3,2,4,2,2,3,3,3,2,5,5,5,4,1,3,4,4,2,4,1,4,3,4,3,3,5,4,1
25,2,"n","none","no","yes","Non-Profit",3,"30%",3,4,4,4,3,4,3,3,1,2,4,5,2,3,3,2,2,2,2,1,4,5,5,4,2,3,3,3,1,2,4,4,3,4,4,3,3,3,1,2
25,2,"n","Bachelors","no","yes","Consulting",3,"40%",2,2,2,4,2,1,4,4,2,2,5,2,3,2,4,5,2,1,5,4,3,4,5,5,2,5,2,4,1,3,3,3,3,2,1,1,5,4,2,2
25,2,"n","none","no","yes","Other",3,"50%",2,5,5,3,2,5,3,3,1,4,3,4,4,4,2,2,2,3,2,4,2,5,5,5,2,2,2,3,4,3,4,4,3,2,2,1,5,4,3,2
25,2,"n","Bachelors","no","yes","Other",2,"30%",2,3,2,2,3,2,4,4,1,2,5,4,2,2,3,2,2,1,2,2,2,4,4,3,4,4,4,4,4,4,4,3,2,1,2,2,1,2,2,1
25,2,"n","Associates","no","yes","Non-Profit",2,"20%",5,4,4,4,3,4,1,1,3,2,4,2,5,5,4,1,3,2,2,2,5,5,5,5,3,2,2,2,1,3,3,4,2,3,4,4,3,2,4,4
25,2,"n","Bachelors","no","yes","Technology",2,"20%",4,4,4,4,4,2,2,2,1,1,4,5,4,4,3,1,1,2,2,2,4,5,5,5,2,2,2,2,1,1,4,4,5,5,5,4,5,5,3,4
25,2,"n","none","no","yes","Manufacturing",2,"30%",5,1,1,4,2,2,4,4,4,3,4,2,2,5,5,4,2,4,5,1,4,5,3,3,4,4,4,2,1,2,2,2,2,2,2,2,2,4,2,2
25,2,"n","none","no","yes","Non-Profit",3,"30%",5,3,3,4,4,3,2,2,1,1,4,4,3,5,3,2,3,2,2,2,3,4,4,4,4,2,1,3,1,2,4,4,3,1,3,2,3,2,2,1
25,2,"y","Bachelors","no","yes","Restaurant",3,"40%",4,3,4,3,2,2,3,2,2,1,2,3,4,4,3,4,2,4,3,2,5,5,5,5,2,2,2,1,2,2,4,4,3,2,3,3,3,4,2,2
25,2,"y","Bachelors","no","yes","Other",3,"50%",3,3,3,4,3,3,3,2,1,2,2,2,1,3,4,3,1,4,5,3,3,5,5,5,4,3,2,3,1,3,4,4,3,1,2,1,1,2,1,1
25,2,"y","Masters","no","yes","Consulting",4,"50%",3,4,3,3,3,4,3,3,1,2,2,3,3,3,4,2,2,4,2,3,5,5,4,4,2,2,3,3,1,2,5,5,3,3,3,3,3,4,3,3
25,2,"y","Masters","no","yes","Consulting",4,"30%",5,5,4,5,3,4,2,4,4,4,5,4,4,5,4,2,2,1,2,1,5,5,5,3,3,4,4,4,1,4,2,2,4,2,4,3,4,5,2,1
25,2,"y","Bachelors","no","no","Other",3,"40%",3,3,4,4,4,5,3,2,4,1,5,3,2,4,3,2,3,2,2,2,5,5,5,5,4,1,1,2,4,3,4,4,3,4,4,2,4,4,3,2
25,2,"y","Masters","no","no","Other",4,"40%",5,4,3,3,3,4,3,4,2,1,4,4,4,4,3,2,2,2,2,2,2,4,5,5,2,5,4,5,1,2,5,5,3,2,2,2,4,4,2,2
25,2,"y","Bachelors","no","yes","Other",2,"50%",3,2,2,1,3,1,2,3,5,5,2,2,2,3,2,3,4,4,3,3,2,5,5,5,2,3,3,3,1,2,4,3,2,2,2,2,2,2,2,2
25,2,"y","Bachelors","no","yes","Manufacturing",2,"50%",5,3,4,4,4,4,3,4,2,2,4,4,3,4,4,2,2,2,2,1,4,4,4,5,1,1,1,3,2,1,2,2,2,2,2,2,2,4,4,3
25,2,"y","Associates","no","yes","Technology",2,"50%",4,2,3,2,3,3,4,4,2,2,3,2,3,4,2,4,4,3,4,3,3,4,4,3,3,2,2,3,2,4,4,2,2,2,3,3,3,2,3,1
